@relation train_data_smooth_oneColumn

@attribute AccX1 numeric
@attribute AccY1 numeric
@attribute AccZ1 numeric
@attribute GyrX1 numeric
@attribute GyrY1 numeric
@attribute GyrZ1 numeric
@attribute AccX2 numeric
@attribute AccY2 numeric
@attribute AccZ2 numeric
@attribute GyrX2 numeric
@attribute GyrY2 numeric
@attribute GyrZ2 numeric
@attribute AccX3 numeric
@attribute AccY3 numeric
@attribute AccZ3 numeric
@attribute GyrX3 numeric
@attribute GyrY3 numeric
@attribute GyrZ3 numeric
@attribute AccX4 numeric
@attribute AccY4 numeric
@attribute AccZ4 numeric
@attribute GyrX4 numeric
@attribute GyrY4 numeric
@attribute GyrZ4 numeric
@attribute AccX5 numeric
@attribute AccY5 numeric
@attribute AccZ5 numeric
@attribute GyrX5 numeric
@attribute GyrY5 numeric
@attribute GyrZ5 numeric
@attribute AccX6 numeric
@attribute AccY6 numeric
@attribute AccZ6 numeric
@attribute GyrX6 numeric
@attribute GyrY6 numeric
@attribute GyrZ6 numeric
@attribute AccX7 numeric
@attribute AccY7 numeric
@attribute AccZ7 numeric
@attribute GyrX7 numeric
@attribute GyrY7 numeric
@attribute GyrZ7 numeric
@attribute AccX8 numeric
@attribute AccY8 numeric
@attribute AccZ8 numeric
@attribute GyrX8 numeric
@attribute GyrY8 numeric
@attribute GyrZ8 numeric
@attribute AccX9 numeric
@attribute AccY9 numeric
@attribute AccZ9 numeric
@attribute GyrX9 numeric
@attribute GyrY9 numeric
@attribute GyrZ9 numeric
@attribute AccX10 numeric
@attribute AccY10 numeric
@attribute AccZ10 numeric
@attribute GyrX10 numeric
@attribute GyrY10 numeric
@attribute GyrZ10 numeric
@attribute AccX11 numeric
@attribute AccY11 numeric
@attribute AccZ11 numeric
@attribute GyrX11 numeric
@attribute GyrY11 numeric
@attribute GyrZ11 numeric
@attribute AccX12 numeric
@attribute AccY12 numeric
@attribute AccZ12 numeric
@attribute GyrX12 numeric
@attribute GyrY12 numeric
@attribute GyrZ12 numeric
@attribute AccX13 numeric
@attribute AccY13 numeric
@attribute AccZ13 numeric
@attribute GyrX13 numeric
@attribute GyrY13 numeric
@attribute GyrZ13 numeric
@attribute AccX14 numeric
@attribute AccY14 numeric
@attribute AccZ14 numeric
@attribute GyrX14 numeric
@attribute GyrY14 numeric
@attribute GyrZ14 numeric
@attribute AccX15 numeric
@attribute AccY15 numeric
@attribute AccZ15 numeric
@attribute GyrX15 numeric
@attribute GyrY15 numeric
@attribute GyrZ15 numeric
@attribute AccX16 numeric
@attribute AccY16 numeric
@attribute AccZ16 numeric
@attribute GyrX16 numeric
@attribute GyrY16 numeric
@attribute GyrZ16 numeric
@attribute AccX17 numeric
@attribute AccY17 numeric
@attribute AccZ17 numeric
@attribute GyrX17 numeric
@attribute GyrY17 numeric
@attribute GyrZ17 numeric
@attribute AccX18 numeric
@attribute AccY18 numeric
@attribute AccZ18 numeric
@attribute GyrX18 numeric
@attribute GyrY18 numeric
@attribute GyrZ18 numeric
@attribute AccX19 numeric
@attribute AccY19 numeric
@attribute AccZ19 numeric
@attribute GyrX19 numeric
@attribute GyrY19 numeric
@attribute GyrZ19 numeric
@attribute AccX20 numeric
@attribute AccY20 numeric
@attribute AccZ20 numeric
@attribute GyrX20 numeric
@attribute GyrY20 numeric
@attribute GyrZ20 numeric
@attribute AccX21 numeric
@attribute AccY21 numeric
@attribute AccZ21 numeric
@attribute GyrX21 numeric
@attribute GyrY21 numeric
@attribute GyrZ21 numeric
@attribute AccX22 numeric
@attribute AccY22 numeric
@attribute AccZ22 numeric
@attribute GyrX22 numeric
@attribute GyrY22 numeric
@attribute GyrZ22 numeric
@attribute AccX23 numeric
@attribute AccY23 numeric
@attribute AccZ23 numeric
@attribute GyrX23 numeric
@attribute GyrY23 numeric
@attribute GyrZ23 numeric
@attribute AccX24 numeric
@attribute AccY24 numeric
@attribute AccZ24 numeric
@attribute GyrX24 numeric
@attribute GyrY24 numeric
@attribute GyrZ24 numeric
@attribute AccX25 numeric
@attribute AccY25 numeric
@attribute AccZ25 numeric
@attribute GyrX25 numeric
@attribute GyrY25 numeric
@attribute GyrZ25 numeric
@attribute AccX26 numeric
@attribute AccY26 numeric
@attribute AccZ26 numeric
@attribute GyrX26 numeric
@attribute GyrY26 numeric
@attribute GyrZ26 numeric
@attribute AccX27 numeric
@attribute AccY27 numeric
@attribute AccZ27 numeric
@attribute GyrX27 numeric
@attribute GyrY27 numeric
@attribute GyrZ27 numeric
@attribute AccX28 numeric
@attribute AccY28 numeric
@attribute AccZ28 numeric
@attribute GyrX28 numeric
@attribute GyrY28 numeric
@attribute GyrZ28 numeric
@attribute AccX29 numeric
@attribute AccY29 numeric
@attribute AccZ29 numeric
@attribute GyrX29 numeric
@attribute GyrY29 numeric
@attribute GyrZ29 numeric
@attribute AccX30 numeric
@attribute AccY30 numeric
@attribute AccZ30 numeric
@attribute GyrX30 numeric
@attribute GyrY30 numeric
@attribute GyrZ30 numeric
@attribute Label {down,up,left,right,rotate_left,rotate_right}

@data
-861,39,-48,7682,22682,-6585,-330,-46,-1,6311,-6525,-13475,-112,-64,20,7276,6849,-18272,13,-102,10,-6418,2713,-21158,183,-139,14,-8305,-9817,-27731,363,-119,14,-5598,-12512,-19158,318,-94,1,-3585,622,-3585,207,-60,-6,-3781,-1329,15768,116,-51,-11,3573,3073,28671,-121,8,-16,10378,17683,47536,-223,18,-17,5524,14866,44512,-296,80,-3,4585,3085,33548,-290,109,-27,1220,-2963,15219,-261,162,-5,1622,-7390,-4354,-148,169,-30,403,-8268,-19622,5,131,10,85,-8293,-25573,95,68,-9,-3158,-2634,-26841,141,23,17,-1329,-646,-23548,126,4,2,-427,1610,-10658,81,-17,28,-2171,658,-2744,15,-13,-5,-2085,2036,-781,17,-8,6,-671,1000,-427,11,-11,-9,-2037,183,1658,2,-15,-10,-329,1073,1683,3,1,-7,-451,-341,1731,9,-4,-1,207,-549,1524,1,-11,-5,195,549,2109,-3,-7,-1,1232,232,1829,1,0,8,817,-768,1670,-2,0,6,-24,-537,938,down
-793,-25,-52,5243,16402,-9451,-285,-73,50,8902,4909,-17500,-57,-121,-23,-1403,6687,-20650,-48,-111,-59,-10686,2698,-17027,120,-151,-8,-7878,-6012,-31670,388,-137,28,-4634,-13500,-28365,387,-94,-46,-6110,-3488,-7902,243,-64,-20,3353,1159,16244,153,-61,42,13853,683,30512,-112,-9,1,13670,8232,53475,-329,51,-23,4548,10866,52768,-409,110,24,549,3439,29256,-316,128,21,-2268,-841,2780,-186,142,-2,-4781,-3634,-12780,-54,154,-5,-5707,-305,-21390,87,89,1,110,268,-24085,144,5,-6,1927,-1415,-15036,121,1,8,-658,-5500,-7914,86,-7,6,-597,573,-4634,44,3,-2,-1134,-2085,-49,15,-5,-7,-1463,-744,1610,-6,0,-3,-341,-768,659,-11,0,-6,-329,-305,1780,-15,11,-7,512,634,403,8,-1,12,1134,427,-317,-3,5,6,86,427,597,-7,8,1,232,793,0,-1,5,5,1036,2305,-1097,-4,2,6,-744,-780,122,-2,1,-4,-159,232,-561,down
-845,8,-12,-11646,-13963,-24512,-196,-127,-6,1616,15305,-31890,-149,-150,-56,-2866,15813,-19573,69,-196,-43,-6844,2820,-29406,199,-153,-5,-3122,-8146,-27695,419,-109,-22,-98,-4122,-13378,316,-65,15,2122,-7061,9671,238,-52,9,1719,-4829,22378,6,2,54,7670,-2415,43244,-237,14,-21,1549,7671,45731,-411,78,25,1902,6317,34366,-387,112,-26,-2269,829,12085,-216,112,20,-110,-6939,-9597,-102,132,-19,-1293,-1951,-19134,38,109,34,3304,-683,-18951,165,2,-9,1341,1768,-16915,160,-18,14,1841,561,-9817,84,0,1,1756,2037,-1476,49,-6,3,1171,2220,-1001,1,3,-4,-146,2085,1560,-3,-3,5,-1073,-1707,1804,-11,-5,2,-1976,-488,683,-17,1,-5,-2329,73,1048,-8,5,-9,-1829,-232,536,2,1,-2,-1427,-2280,122,-5,8,4,634,1537,-634,2,2,-8,-390,281,487,9,5,15,1134,-317,-695,3,1,5,-927,439,280,-3,4,0,195,1939,-122,down
627,-769,-142,-34817,-24634,-108414,638,-281,5,-946,-26402,-54786,421,-149,-16,-772,-7154,-17256,273,-92,28,3064,960,9680,152,-128,-24,793,4890,17817,-125,52,39,10000,3963,47256,-393,77,1,1903,10731,41256,-415,84,-6,-2097,487,17963,-310,65,-24,-3988,-3464,-4415,-208,136,17,-1183,-4708,-17366,-18,115,-9,-2476,-634,-27536,139,41,-3,-1890,110,-21622,160,16,18,2878,5549,-9317,95,15,3,1914,3012,-5585,59,1,17,1268,122,-3012,28,-16,-9,-1171,2061,268,9,-3,-5,195,-622,1890,5,-8,-1,-281,-2268,1829,-3,1,-6,-817,-488,2634,-3,-4,-13,-1427,-854,2719,-8,10,1,305,-171,1329,-7,2,1,-463,-841,329,-3,9,0,-146,-61,183,-3,0,-2,-305,-12,-219,-1,5,-3,390,61,-658,-3,2,4,390,-439,98,-2,1,1,804,1219,-280,3,-1,-4,232,-244,-646,6,0,3,610,-73,-85,2,-2,5,305,-293,780,down
-873,2,-25,5670,13902,19268,-567,0,-12,4542,21616,-12378,-285,-45,27,-956,9309,-25223,25,-179,-29,-11921,-1280,-36097,249,-176,-38,-9256,-9512,-37744,435,-123,-3,-3220,-15219,-27805,505,-124,-9,-2866,-11024,-1219,336,-116,-11,3658,1329,29695,53,0,11,11646,10329,56280,-294,62,22,12475,18366,65073,-394,80,-10,5231,11268,46841,-426,132,12,7585,-866,17305,-265,163,-1,-232,-11512,-12231,-132,155,13,-780,-10280,-28012,18,134,25,-2268,-8793,-30158,134,52,27,-3573,2329,-26707,143,4,-7,-8475,5658,-14793,108,-7,-10,-4207,6451,-6695,73,-10,-11,-3683,1573,-2963,34,-19,-26,-2293,2061,353,2,-7,-28,-1024,-646,1731,11,-12,-2,1183,-2366,2280,-6,-10,-5,524,-2597,3707,-26,0,-3,1488,-146,2658,-24,2,3,695,-2463,817,-27,3,11,756,-1890,1695,-17,-2,-9,-48,-293,-549,-11,-5,-9,1,390,-1487,36,-14,1,-1012,-3634,-256,37,-9,21,1440,1598,49,down
-800,204,-53,7317,3841,35304,-631,102,-16,3354,2835,4695,-414,23,48,3049,-508,-13272,-155,-90,23,-11311,-2211,-33125,119,-209,9,-18719,-6037,-42597,474,-247,-64,-19817,-8756,-47731,543,-138,-20,-5073,-5756,-17061,438,-126,-42,1451,6951,14354,215,-99,-40,10988,6512,46390,-158,74,-36,22841,9000,71573,-433,152,83,26536,9146,69573,-472,113,22,5683,4244,35329,-339,143,-16,-4707,-6963,2732,-201,208,1,-2000,-4402,-19768,-6,154,-3,-6341,-5598,-31121,107,75,-28,-9707,-3854,-32085,164,6,-23,-3403,244,-21670,139,-13,0,-585,-2341,-9146,89,-12,4,622,37,-1073,26,2,13,1061,159,2427,-7,-5,-2,-12,1451,3415,0,-12,-1,-634,-1622,2427,-16,2,12,1403,1256,1329,-6,-5,1,-1390,-1622,1500,-6,-4,3,-24,1317,280,-12,5,3,86,183,12,-3,3,8,195,-196,-1561,9,-5,-4,-1573,-952,-1110,11,-7,-5,-756,-74,-451,10,-4,-2,354,451,98,down
-925,126,-8,10853,6280,59756,-710,44,13,4604,-183,14360,-390,5,106,2276,-12683,-22805,-48,-159,35,-10092,6586,-46296,135,-225,-18,-14073,-2634,-38597,419,-219,-45,-10988,-2963,-45500,532,-140,9,634,-2939,-19220,427,-130,-23,1658,9012,20866,132,-41,-25,9134,5037,57061,-186,95,-7,18195,12890,66621,-372,147,24,13743,5354,60866,-410,134,0,4804,-305,34537,-301,134,-39,-1878,-6695,1464,-175,177,-5,-1024,-12463,-16463,-6,152,17,-3866,-9634,-28865,114,63,5,-6475,-4464,-29243,174,0,-36,-8183,2951,-24207,108,4,-15,-854,5792,-10646,83,-2,-11,-317,1439,-5049,35,-6,-3,-378,-1975,280,8,-7,10,1731,-317,-305,-12,-6,17,1158,-524,1097,-8,-9,1,-695,-415,1402,-16,-1,8,561,890,744,11,-13,7,-86,1061,-707,7,-11,-1,-744,1536,866,-11,-4,-13,-1061,1158,976,9,-4,4,0,-585,-439,15,-8,-4,-792,-427,85,8,-7,-11,-439,585,963,down
-824,-15,72,13658,-6890,25365,-499,-22,64,4208,-2439,-4848,-286,-12,98,265,-7866,-24634,-39,-169,56,-10869,-4909,-40564,275,-215,1,-13243,-6866,-38207,481,-141,-26,-8158,-744,-24024,455,-105,10,342,2549,6427,314,-174,-67,439,15219,33659,2,-16,-45,12988,4890,60439,-429,183,24,22512,-1293,62475,-465,141,49,13878,1439,31098,-369,118,-15,976,427,1866,-207,204,22,-402,-10183,-14975,8,168,11,-4353,1902,-28426,140,51,-24,-10000,10085,-24036,149,10,-33,-8646,1732,-12805,99,9,-15,-2585,-1927,-6793,67,-15,-12,-488,-1622,-5049,24,-8,-3,378,-3024,-586,14,-15,-4,451,-1793,-756,-8,-2,-5,963,-1000,256,8,-15,-2,-110,-256,305,1,-4,2,756,927,683,0,-2,-5,98,-585,866,-10,4,4,366,-207,634,-20,1,-4,-914,-219,914,24,-3,5,220,-2036,-1390,2,2,-2,-707,-341,854,-28,3,-10,-561,610,829,26,-15,-4,-147,-1231,-1390,down
-1050,94,174,4878,23719,32012,-713,-9,98,61,9025,5976,-309,-75,53,-13110,-14024,-23008,154,-242,-9,-17790,8933,-53521,247,-169,4,-8549,-11451,-33987,508,-155,-7,-817,-11378,-23024,526,-145,-46,280,5488,3146,286,-143,-39,12926,17354,38793,-166,57,18,23182,-4280,75219,-451,169,24,15670,2525,64463,-516,165,9,5390,4525,29890,-396,180,22,-292,-9195,-2975,-142,183,26,-5109,-4000,-32231,27,132,8,-10402,-1671,-34488,201,1,-34,-8524,14122,-33183,216,-24,-34,-5073,4805,-15475,161,-31,0,780,-1037,-2683,28,7,-11,561,-5488,8988,-4,8,-2,2085,-1366,4463,-16,3,14,1415,-4695,4805,-35,2,8,-159,-2939,4707,-39,3,-5,-671,414,2158,11,-9,0,-293,-341,-1537,1,-2,-8,-24,1561,-427,-14,-9,1,1073,2207,-841,26,4,8,1390,573,-2024,29,0,6,1280,707,-1500,-14,7,10,219,1097,1597,-6,-3,-6,-732,-37,-329,14,3,-4,-1146,-1817,98,down
-1013,144,96,3841,21707,8780,-644,13,122,-122,-1098,-2500,-274,-126,49,-16565,-18435,-32053,300,-385,-5,-25503,-3628,-65381,395,-173,20,-8110,-19146,-32475,511,-136,16,219,-7256,-5427,447,-172,-22,3024,9951,16549,96,-54,-30,19683,24670,47097,-405,281,28,32719,4415,82597,-584,201,3,14829,16732,53207,-433,126,-14,1707,1354,9817,-245,179,-19,-2317,-12646,-14609,50,148,22,-7719,-12427,-29768,150,52,-19,-12243,-744,-31609,189,-8,-26,-7000,3841,-23988,134,-3,-15,-2695,-110,-8793,70,-1,4,-537,1744,-3086,16,-7,-20,-2085,-1622,1390,8,-13,-9,158,-1256,963,-2,-9,9,1500,-1768,2475,-13,-9,8,1024,1220,2378,-17,-7,0,439,1037,1512,-5,-4,5,464,683,109,5,-9,10,25,1122,-610,0,-9,-12,-1268,951,219,5,-1,-9,-24,549,-183,1,-2,-13,-451,903,622,7,-7,-6,37,-585,317,6,-2,2,402,-1317,1049,1,4,20,707,-890,1158,down
